ds,id_user,ds_checkin,ds_checkout,n_searches,n_nights,n_guests_min,n_guests_max,origin_country,filter_price_min,filter_price_max,filter_room_types,filter_neighborhoods
11/10/2014,67aece73-e112-4e9e-9e05-8a2a94b003b9,,,5,,1,1,IT,0,99,",Private room",
1/10/2014,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,4/10/2014,7/10/2014,11,3,3,3,ES,0,567,",Entire home/apt,Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
3/10/2014,aa9cf5bf-5667-4212-8018-1cb8beee530e,11/14/2014,11/16/2014,17,2,2,2,GB,0,171,",Entire home/apt",
9/10/2014,3e6c2466-74fe-44c0-a6f3-dda79755d30a,2/26/2015,2/3/2015,9,4,1,4,GB,0,240,",Entire home/apt",
10/13/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/22/2014,7,4,1,2,GB,,,",Entire home/apt",
1/10/2014,0f4ea370-702c-4f08-a00d-98e67c2a3574,10/10/2014,12/10/2014,16,2,6,8,US,0,345,",Entire home/apt",
8/10/2014,b2fda15a-89bb-4e6e-ae81-8b21598e2482,,,4,,1,2,FR,0,78,",Private room",
4/10/2014,0f4ea370-702c-4f08-a00d-98e67c2a3574,10/10/2014,10/13/2014,25,3,3,8,US,0,200,",Entire home/apt",
5/10/2014,b6a8b1f9-5b40-4edd-91f3-ee522b0f9e5b,12/27/2014,3/1/2015,24,7,1,4,FR,91,1073741823,Entire home/apt,
5/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,3/13/2015,3/18/2015,4,5,5,5,IE,,,Entire home/apt,
6/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/15/2015,3/18/2015,6,3,2,5,AU,0,376,Entire home/apt,
10/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,10/23/2014,10/26/2014,10,3,7,7,IE,,,",Entire home/apt",
4/10/2014,fad1a097-a511-4f44-a603-6a271c1f159e,5/10/2014,6/10/2014,11,1,1,2,IE,0,63,",Private room,Entire home/apt",
12/10/2014,d328a4a0-df5f-4851-a864-a8845b45c1e0,10/23/2014,10/29/2014,2,6,1,1,DE,0,63,",Private room",
6/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,12/6/2015,6/14/2015,40,2,1,12,GB,0,600,Entire home/apt,
4/10/2014,126ed661-fa20-4041-ac16-ec118bbcce3b,,,24,,1,4,GB,18,1073741823,",Entire home/apt,Private room,Shared room",
3/10/2014,598f8459-96f6-4400-8bce-1474757dd589,12/3/2015,3/19/2015,16,7,1,2,TR,,,",Entire home/apt",
9/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,11/11/2014,11/19/2014,84,8,1,2,IT,0,73,Private room,
2/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/20/2015,3/22/2015,23,2,5,5,AU,0,237,",Entire home/apt",
2/10/2014,37a63847-b09a-4f32-81a5-97cfb8e84c6d,11/3/2015,3/19/2015,179,8,1,2,US,0,860,",Entire home/apt,Entire home/apt,Private room,Private room",",City Centre,City Centre,Temple Bar,Trinity College"
5/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,5/6/2015,6/14/2015,1,9,4,4,GB,,,Entire home/apt,
10/10/2014,3e6c2466-74fe-44c0-a6f3-dda79755d30a,2/26/2015,3/3/2015,3,5,4,4,GB,0,116,Entire home/apt,
5/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,12/6/2015,6/14/2015,170,2,2,16,GB,0,345,",Entire home/apt",
10/14/2014,72f07b78-99e1-46ac-8452-19dd2053eca3,10/30/2014,2/11/2014,7,3,3,3,US,,,",Entire home/apt",",Docklands,Ringsend/Irishtown"
8/10/2014,2889fccc-37ab-4a66-8d64-41b31314c7fc,10/31/2014,3/11/2014,79,3,2,2,ES,0,604,",Entire home/apt,Entire home/apt,Private room",
10/13/2014,0a8e121b-c09c-4de1-abcc-81bce87de29e,12/19/2014,12/20/2014,66,1,1,2,ES,0,92,",Private room",
8/10/2014,67aece73-e112-4e9e-9e05-8a2a94b003b9,,,6,,1,1,IT,0,198,",Private room",
1/10/2014,6a8cf97f-8a77-4b55-b79a-b560bca414a4,7/11/2014,10/11/2014,1,3,2,2,NL,0,137,Entire home/apt,
5/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,,,10,,1,4,GB,0,129,",Entire home/apt",
10/13/2014,bb490ede-8a70-4d61-a2e8-625855a393e2,3/11/2014,7/11/2014,2,4,2,2,DE,0,90,"Entire home/apt,Private room,Private room",
2/10/2014,6c541a87-d864-4de8-ae05-70ae57b50976,10/16/2014,10/22/2014,22,6,1,1,IT,0,1073741823,",Private room",
1/10/2014,1a66fe1c-fea6-4ec6-96c4-3ea3e0c7815e,3/15/2015,3/18/2015,52,3,5,5,FR,,,",Entire home/apt,Entire home/apt,Private room",
2/10/2014,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,9/10/2014,7/11/2014,8,29,2,2,US,,,",Entire home/apt,Entire home/apt,Private room",
9/10/2014,ca6a9321-d7f9-42e9-aeb1-5d1832034da0,10/17/2014,10/20/2014,3,3,2,2,GB,0,156,Entire home/apt,
11/10/2014,bdaf2e68-86dd-40d9-a5a1-9cc95ea25d91,10/16/2014,10/19/2014,73,3,1,1,DE,0,232,",Private room",
12/10/2014,d328a4a0-df5f-4851-a864-a8845b45c1e0,10/24/2014,10/29/2014,18,5,1,1,DE,0,63,Private room,
2/10/2014,f4602827-8672-4545-8887-43702f8c7ecc,8/10/2014,12/10/2014,40,4,1,2,TR,0,105,",Entire home/apt,Entire home/apt,Private room,Private room",
3/10/2014,e764ddb5-126e-4474-8e4e-4bdc330b51d1,11/10/2014,10/24/2014,17,13,1,1,IE,,,",Entire home/apt",
10/13/2014,67aece73-e112-4e9e-9e05-8a2a94b003b9,9/11/2014,11/22/2014,12,13,1,2,IT,0,61,",Private room",
2/10/2014,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,4/10/2014,6/10/2014,5,2,3,3,ES,0,641,"Entire home/apt,Private room,Shared room",
1/10/2014,f5ba8f82-682e-4ec9-9c6e-cedc2cd628ca,11/19/2014,11/22/2014,4,3,2,2,GB,0,115,Entire home/apt,
2/10/2014,1759c05e-f12a-4eaa-8059-3bcaca443c88,10/31/2014,2/11/2014,32,2,2,3,GB,,,",Entire home/apt",
7/10/2014,f54989cf-459b-409d-be6a-9534a53cc4a9,3/11/2014,6/11/2014,21,3,1,1,IT,0,217,Private room,
10/10/2014,ea445eea-3fac-4edd-b1d6-569f57f6abe4,10/24/2014,10/27/2014,46,3,4,4,HR,0,882,",Entire home/apt,Entire home/apt,Private room",",City Centre"
10/14/2014,882f3764-05cc-436a-b23b-93fea22ea847,10/19/2014,10/21/2014,1,2,2,2,AU,0,133,Entire home/apt,
10/10/2014,845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,10/24/2014,10/30/2014,23,6,1,2,FR,0,140,",Entire home/apt,Entire home/apt,Private room,Private room",
10/14/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/22/2014,6,4,1,1,GB,,,Entire home/apt,
9/10/2014,94139517-e7e9-4afb-8b5d-bb6f306bf751,10/17/2014,10/19/2014,11,2,1,2,FR,0,213,",Entire home/apt,Entire home/apt,Private room",
5/10/2014,5ed478e0-eae9-4537-826a-04ec779c1fd2,7/10/2014,12/10/2014,4,5,1,1,IE,,,Private room,
6/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,11/11/2014,11/19/2014,5,8,2,2,IT,,,",Private room",",City Centre"
7/10/2014,ebe81cf8-6037-43f2-81d2-fd386f5da74f,10/10/2014,10/13/2014,127,3,3,3,CA,0,184,",Entire home/apt",",City Centre,Drumcondra,City Centre,Phibsborough"
1/10/2014,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,3/10/2014,5/10/2014,23,2,2,2,US,0,107,",Entire home/apt,Private room,Private room",
12/10/2014,be8a5e0c-e3fb-4517-a799-e1ed8a05b6e6,10/16/2014,10/20/2014,27,4,2,2,IT,0,383,Private room,
7/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,12/6/2015,6/14/2015,120,2,1,8,GB,0,537,",Entire home/apt",
5/10/2014,b6a8b1f9-5b40-4edd-91f3-ee522b0f9e5b,,,2,,1,1,FR,,,",Entire home/apt",
10/14/2014,b3e35a8f-5503-4d78-adb8-7693097dfca7,3/11/2014,7/11/2014,29,4,2,5,GB,0,709,",Entire home/apt",
3/10/2014,f4602827-8672-4545-8887-43702f8c7ecc,8/10/2014,12/10/2014,4,4,2,2,TR,,,"Entire home/apt,Private room",
6/10/2014,6133fb99-2391-4d4b-a077-bae40581f925,10/31/2014,3/11/2014,8,3,2,2,FR,,,"Entire home/apt,Private room,Private room",
2/10/2014,e764ddb5-126e-4474-8e4e-4bdc330b51d1,10/18/2014,10/25/2014,4,7,1,1,IE,,,",Entire home/apt",
3/10/2014,2acf0e64-9da0-47c9-b0f9-1eceab379f84,4/10/2014,6/10/2014,9,2,1,1,GB,0,49,",Private room",
10/13/2014,996d1871-8986-481b-8bbf-1a1420c68c90,7/12/2014,11/12/2014,1,4,2,2,IT,0,67,Entire home/apt,
5/10/2014,5ed478e0-eae9-4537-826a-04ec779c1fd2,6/10/2014,12/21/2014,13,76,1,1,IE,,,",Entire home/apt,Entire home/apt,Private room,Private room",
4/10/2014,f5ba8f82-682e-4ec9-9c6e-cedc2cd628ca,11/19/2014,11/22/2014,2,3,2,2,GB,0,107,Entire home/apt,
8/10/2014,679d857b-08b8-4748-b703-86735aa42296,3/11/2014,6/11/2014,24,3,2,2,GB,0,200,",Entire home/apt",
10/14/2014,5dacf820-a573-4ce2-9fd8-0d7ed979b822,10/17/2014,10/21/2014,17,4,1,3,CZ,0,200,",Entire home/apt",
10/13/2014,bb490ede-8a70-4d61-a2e8-625855a393e2,2/11/2014,6/11/2014,4,4,2,2,DE,0,90,"Entire home/apt,Private room",
10/10/2014,94139517-e7e9-4afb-8b5d-bb6f306bf751,10/17/2014,10/19/2014,21,2,2,2,FR,0,150,",Entire home/apt,Entire home/apt,Private room",
3/10/2014,2acf0e64-9da0-47c9-b0f9-1eceab379f84,3/10/2014,6/10/2014,1,3,1,1,GB,0,32,Private room,
2/10/2014,f4602827-8672-4545-8887-43702f8c7ecc,8/10/2014,10/13/2014,16,5,2,2,TR,0,199,",Entire home/apt,Private room,Private room",
9/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,,,44,,1,1,IT,0,73,",Private room",
12/10/2014,b6a8b1f9-5b40-4edd-91f3-ee522b0f9e5b,12/27/2014,3/1/2015,11,7,4,4,FR,0,124,",Entire home/apt",
9/10/2014,70180687-5888-4946-9578-83ab678cb997,2/11/2014,5/11/2014,28,3,1,1,NL,0,80,Private room,
7/10/2014,6cb23070-821b-467d-b4d0-af04645a0703,10/31/2014,3/11/2014,24,3,1,2,GB,,,",Entire home/apt",
5/10/2014,25cfc206-89aa-4e63-b2f4-3cbb8631d9fb,10/10/2014,12/10/2014,88,2,2,2,CA,0,171,",Private room",
6/10/2014,3c3ec192-acd7-4c91-8e82-18cff7d859ec,10/24/2014,10/26/2014,12,2,2,2,FR,0,223,",Private room",",Temple Bar"
9/10/2014,176a2fb8-1de3-483a-92a3-34a826a91f5a,7/11/2014,9/11/2014,12,2,2,2,US,,,",Entire home/apt",
6/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,,,1,,2,2,AU,0,376,Entire home/apt,
7/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,11/11/2014,11/19/2014,5,8,2,2,IT,0,67,Private room,
4/10/2014,25cfc206-89aa-4e63-b2f4-3cbb8631d9fb,10/10/2014,12/10/2014,17,2,1,2,CA,0,184,Private room,
12/10/2014,9a45a950-b4f7-4f16-abe6-f9286abf2641,10/24/2014,10/27/2014,15,3,1,1,SE,54,1073741823,",Private room",
9/10/2014,6cb23070-821b-467d-b4d0-af04645a0703,10/31/2014,3/11/2014,4,3,2,2,GB,,,Entire home/apt,
2/10/2014,ca6a9321-d7f9-42e9-aeb1-5d1832034da0,10/17/2014,10/20/2014,42,3,1,2,GB,0,1073741823,",Entire home/apt,Entire home/apt,Private room,Private room",
10/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/15/2015,3/18/2015,1,3,4,4,AU,0,384,Entire home/apt,
8/10/2014,ca6a9321-d7f9-42e9-aeb1-5d1832034da0,10/17/2014,10/20/2014,1,3,2,2,GB,0,155,Entire home/apt,
11/10/2014,9a45a950-b4f7-4f16-abe6-f9286abf2641,10/24/2014,10/27/2014,5,3,1,1,SE,61,1073741823,Private room,
7/10/2014,f54989cf-459b-409d-be6a-9534a53cc4a9,3/11/2014,7/11/2014,86,4,1,1,IT,0,330,",Private room",
8/10/2014,d61d88ae-7910-4832-8116-aab4603ab3b0,11/13/2014,11/18/2014,10,5,4,4,NL,0,522,",Entire home/apt",
12/10/2014,e3cdd90a-8097-4220-9722-2b914d761a84,6/11/2014,10/11/2014,3,4,1,1,FR,275,1073741823,",Private room",
5/10/2014,18d343e3-0ef0-4bb7-8cd9-b83d3fbbb82f,8/11/2014,10/11/2014,3,2,1,2,FR,,,",Entire home/apt",
2/10/2014,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,10/10/2014,12/10/2014,19,2,1,1,US,,,",Private room",
3/10/2014,62d09c95-c3d2-44e6-9081-a3485618227d,10/25/2014,1/11/2014,88,7,4,4,FR,0,181,",Entire home/apt,Entire home/apt,Private room",
7/10/2014,2acf0e64-9da0-47c9-b0f9-1eceab379f84,10/31/2014,3/11/2014,4,3,1,1,GB,0,58,Entire home/apt,
1/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/14/2015,3/18/2015,4,4,2,2,AU,,,Entire home/apt,
2/10/2014,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,4/10/2014,5/10/2014,15,1,3,3,ES,0,117,",Entire home/apt,Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
8/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,11/11/2014,11/19/2014,93,8,2,2,IT,0,1229,Private room,
1/10/2014,bd8f3dd6-fecc-479a-a88f-1d0049600e9f,4/10/2014,6/10/2014,4,2,1,1,US,0,251,",Private room",",City Centre"
5/10/2014,845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,12/26/2014,1/26/2015,5,31,1,1,FR,,,",Entire home/apt,Private room,Private room",
8/10/2014,b2fda15a-89bb-4e6e-ae81-8b21598e2482,6/11/2014,9/11/2014,27,3,1,2,FR,0,258,",Private room",
2/10/2014,8375dde4-0de9-402c-8833-2127c1504601,11/10/2014,12/10/2014,11,1,1,1,NL,0,73,",Private room,Shared room,Shared room",
9/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,11/11/2014,11/15/2014,34,4,2,2,IT,0,73,Private room,
6/10/2014,ca6a9321-d7f9-42e9-aeb1-5d1832034da0,10/17/2014,10/20/2014,3,3,2,2,GB,0,139,Entire home/apt,
10/14/2014,9e5e2865-f257-4d19-9f79-9388ae925ad7,10/31/2014,1/11/2014,37,1,1,1,IE,0,93,",Private room",",City Centre"
6/10/2014,d528e24b-7c1f-446f-9bb0-a4ecb77c3acd,11/27/2014,11/30/2014,81,3,2,2,FR,0,135,",Entire home/apt",
5/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,11/14/2014,11/16/2014,5,2,10,10,IE,,,",Entire home/apt",
8/10/2014,ebe81cf8-6037-43f2-81d2-fd386f5da74f,10/10/2014,10/13/2014,14,3,3,3,CA,0,274,",Entire home/apt",
10/14/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/21/2014,1,3,1,1,GB,,,Entire home/apt,
10/14/2014,b8831610-31f2-4c58-8ada-63b3601ca476,7/11/2014,11/29/2014,7,22,1,2,SG,,,"Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
2/10/2014,b11cd744-101d-409b-9a55-7e151f2e79d5,3/10/2014,5/10/2014,109,2,1,1,DE,0,571,",Entire home/apt",
6/10/2014,679d857b-08b8-4748-b703-86735aa42296,3/11/2014,6/11/2014,5,3,2,3,GB,,,",Entire home/apt",
2/10/2014,6cbb33d1-6ecc-4f74-8b6a-a43d07d484b6,4/10/2014,7/10/2014,33,3,3,3,ES,0,950,",Entire home/apt,Entire home/apt,Private room,Entire home/apt,Private room,Shared room",
11/10/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/17/2014,10/22/2014,19,5,2,2,GB,0,556,Entire home/apt,
6/10/2014,845e3c1d-6c06-4ef2-ade5-7eecefb56fbe,10/31/2014,2/11/2014,16,2,1,1,FR,0,246,",Entire home/apt",
10/14/2014,924f864f-db83-4945-9a65-cf42a657ca68,9/11/2014,11/15/2014,6,6,3,3,US,,,",Entire home/apt",
7/10/2014,5dacf820-a573-4ce2-9fd8-0d7ed979b822,10/17/2014,10/21/2014,11,4,3,3,CZ,0,329,",Entire home/apt",
10/13/2014,e0d259e6-1b67-4964-a6dc-e8a8c69d3e01,11/16/2014,11/17/2014,2,1,1,2,CH,0,131,",Entire home/apt",
11/10/2014,a09bf912-b21d-4859-b194-8512c30695f6,10/18/2014,10/22/2014,1,4,1,1,GB,,,Entire home/apt,
3/10/2014,6c541a87-d864-4de8-ae05-70ae57b50976,10/16/2014,10/22/2014,3,6,1,1,IT,0,124,",Private room",
7/10/2014,7e309181-e61e-426b-baef-dd031d5660d3,10/27/2014,2/11/2014,7,6,1,2,RU,0,139,Entire home/apt,
6/10/2014,a9f7ffb1-4970-492b-b448-4bd9d0fbeef3,3/20/2015,3/22/2015,1,2,5,5,AU,,,Entire home/apt,
10/10/2014,02f0a750-34da-4268-94e8-f1a371f0460e,,,4,,1,1,IT,,,",Private room",
10/10/2014,d328a4a0-df5f-4851-a864-a8845b45c1e0,10/23/2014,10/29/2014,3,6,1,1,DE,0,67,Private room,
1/10/2014,4995debc-b753-4401-b556-a2bcbb897eba,10/24/2014,10/29/2014,13,5,6,6,BE,,,Entire home/apt,
10/14/2014,b8831610-31f2-4c58-8ada-63b3601ca476,,,8,,1,1,SG,,,",Entire home/apt,Private room,Entire home/apt,Private room,Shared room,Entire home/apt,Shared room,Shared room",
10/10/2014,a03f86ca-5c44-4e66-8695-71c380cfc48b,11/10/2014,12/10/2014,8,1,1,1,IE,0,93,"Entire home/apt,Entire home/apt,Private room",
2/10/2014,6c541a87-d864-4de8-ae05-70ae57b50976,10/16/2014,10/21/2014,8,5,1,2,IT,0,136,Private room,
5/10/2014,eda96881-7b23-413a-9f6f-b45dc9fe2a5b,11/14/2014,11/16/2014,4,2,4,4,GB,0,209,Entire home/apt,
1/10/2014,c0075f4f-0cb0-489b-9f12-bf1dff573488,3/10/2014,4/10/2014,17,1,5,5,IE,0,447,",Entire home/apt",
2/10/2014,0f4ea370-702c-4f08-a00d-98e67c2a3574,10/10/2014,10/13/2014,18,3,3,9,US,0,180,",Entire home/apt",
10/13/2014,996d1871-8986-481b-8bbf-1a1420c68c90,12/3/2015,3/19/2015,14,7,2,4,IT,0,143,Entire home/apt,
12/10/2014,86b39b70-965b-479d-a0b0-719b195acea2,12/31/2014,2/1/2015,2,2,6,6,IE,,,Entire home/apt,
